ENTREZGENE	M172_1_CDS	M172_2_CDS	M172_3_CDS	Mgfp_1_CDS	Mgfp_2_CDS	Mgfp_3_CDS	ENSG
DLT1	215	357	379	370	339	398	YMR126C
PUF4	410	915	887	635	663	748	YGL014W
RRN11	20	33	30	11	13	17	YML043C
FYV7	40	90	109	46	67	60	YLR068W
YMR279C	83	174	163	107	104	122	YMR279C
GAL83	269	602	552	532	573	703	YER027C
SLX5	297	657	632	425	408	487	YDL013W
TVP38	412	747	776	580	573	727	YKR088C
YMR206W	1343	2776	2832	1514	1681	2594	YMR206W
LIP5	501	1033	955	666	678	833	YOR196C
MKK1	213	485	455	194	244	294	YOR231W
VMA13	1337	2921	2709	2567	2560	3022	YPR036W
YCR087C-A	0	0	0	0	0	0	YCR087C-A
YGR235C	557	1183	1049	855	792	972	YGR235C
DOS2	674	1229	1234	629	691	860	YDR068W
RPL31B	1266	2465	2436	1761	1654	2395	YLR406C
YLR406C-A	1	1	1	2	0	1	YLR406C-A
SNU114	204	421	369	320	320	320	YKL173W
SMC6	93	203	175	113	120	130	YLR383W
ALG9	447	993	934	633	627	852	YNL219C
SDC1	131	249	272	175	181	203	YDR469W
MST27	77	138	154	96	109	141	YGL051W
YGP1	2746	6239	4813	13110	12881	14231	YNL160W
YER053C-A	24	52	41	103	93	103	YER053C-A
SEC59	78	185	156	100	106	123	YMR013C
MFB1	323	695	673	586	598	752	YDR219C
ADP1	802	1753	1553	1442	1340	1679	YCR011C
POR1	6974	14866	13180	15656	15888	16597	YNL055C
YIL134C-A	0	8	8	2	7	4	YIL134C-A
SPB4	171	416	388	318	268	372	YFL002C
CPR1	2625	4730	4534	4130	4095	5192	YDR155C
GTS1	487	1170	1074	775	868	1124	YGL181W
MBR1	855	1864	1632	1816	1804	2425	YKL093W
YDC1	847	1786	1505	1830	1648	1877	YPL087W
GPI11	89	183	155	166	136	170	YDR302W
TIM54	400	893	837	594	598	683	YJL054W
DDI3	4	23	28	10	14	11	YNL335W
PIN3	552	1151	1046	936	980	1079	YPR154W
SRP21	320	620	573	500	478	663	YKL122C
CDC19	4289	8402	8151	6976	7664	8874	YAL038W
SPC72	103	196	207	159	147	181	YAL047C
ZIP1	49	92	98	114	111	119	YDR285W
MCH4	1600	3516	3221	1681	1819	2354	YOL119C
YIL169C	823	1762	1764	1916	2180	2504	YIL169C
GNT1	218	471	480	334	301	341	YOR320C
MRPL49	253	513	433	385	352	424	YJL096W
CHS7	311	719	663	570	622	635	YHR142W
TAF14	427	918	802	794	678	859	YPL129W
YOL162W	25	44	45	11	5	17	YOL162W
PWP1	200	406	458	258	247	288	YLR196W
PRP21	77	135	134	115	104	149	YJL203W
YAL065C	2	10	8	2	0	3	YAL065C
SLN1	225	484	451	259	278	360	YIL147C
RGS2	68	160	141	135	104	126	YOR107W
ADY3	101	246	211	143	142	155	YDL239C
ATP18	763	1472	1189	1614	1368	1594	YML081C-A
HCS1	109	211	194	195	210	233	YKL017C
YIG1	59	102	125	74	64	139	YPL201C
POP8	78	169	161	66	65	93	YBL018C
YDR131C	127	278	274	201	187	231	YDR131C
SPF1	384	834	756	610	657	768	YEL031W
EMI5	556	1143	969	784	696	929	YOL071W
NOG2	126	275	224	144	135	172	YNR053C
YDL063C	43	98	94	74	61	72	YDL063C
CLA4	81	197	197	157	167	214	YNL298W
BSD2	549	1033	1078	766	763	1059	YBR290W
COS10	29	80	67	31	32	24	YNR075W
DAT1	69	132	119	63	52	87	YML113W
YHR202W	227	515	436	282	255	408	YHR202W
SOD2	1986	4461	3886	4775	4795	6024	YHR008C
YLR446W	163	343	303	190	216	323	YLR446W
RET2	338	835	736	574	625	818	YFR051C
YHL009W-B	1	2	4	4	1	2	YHL009W-B
YHL009W-A	0	0	0	0	0	0	YHL009W-A
YNR068C	150	309	275	222	247	272	YNR068C
SYF2	102	180	167	109	102	123	YGR129W
KIN3	59	111	131	102	134	129	YAR018C
RPS12	4673	9028	8668	8463	7162	10482	YOR369C
HST3	54	134	129	163	140	135	YOR025W
ECM3	249	611	527	476	597	751	YOR092W
YGR021W	375	706	616	521	546	547	YGR021W
RPB9	109	215	210	243	204	243	YGL070C
ADH4	279	566	616	1240	1444	915	YGL256W
YOL038C-A	14	23	20	23	26	19	YOL038C-A
YER184C	157	323	340	189	166	237	YER184C
SPG4	5334	9573	9010	2742	2777	4269	YMR107W
DNF1	425	829	799	623	620	771	YER166W
MIP6	16	39	40	24	33	38	YHR015W
RHB1	89	187	167	210	207	244	YCR027C
SNF3	600	1369	1147	941	998	1301	YDL194W
RPB3	94	193	166	133	149	152	YIL021W
SNF4	451	945	826	991	900	1018	YGL115W
SLM4	213	442	414	322	322	385	YBR077C
NGG1	378	803	745	667	666	808	YDR176W
YRA1	889	1927	1788	1967	1726	1967	YDR381W
RPL28	44	66	78	38	32	61	YGL103W
VPS52	204	434	401	297	334	404	YDR484W
RET1	376	736	765	477	493	492	YOR207C
CWC23	115	219	237	166	168	229	YGL128C
TDH3	48758	95040	89450	96863	94435	94457	YGR192C
COR1	2359	5290	4692	4788	4819	6077	YBL045C
RDL1	1638	3198	2866	2824	2570	2787	YOR285W
GDB1	3375	7482	6486	7722	7877	8910	YPR184W
YER064C	309	615	641	300	340	437	YER064C
SPA2	200	482	435	272	292	362	YLL021W
YLR407W	189	366	345	157	150	207	YLR407W
POL30	3	5	10	6	7	6	YBR088C
PRP6	162	394	337	307	275	336	YBR055C
ALE1	629	1278	1129	949	995	1158	YOR175C
PEX6	311	636	637	399	342	450	YNL329C
RTT109	25	87	66	88	83	116	YLL002W
SCW11	469	1151	900	1428	1560	1274	YGL028C
GPI1	169	429	351	263	290	320	YGR216C
SPO1	194	365	344	225	223	287	YNL012W
MRN1	495	1093	898	781	702	801	YPL184C
BTT1	33	45	71	52	48	49	YDR252W
IRC18	52	95	80	35	32	50	YJL037W
CDC34	870	1833	1806	1360	1388	1836	YDR054C
FLR1	186	439	356	201	242	312	YBR008C
BSP1	219	440	440	364	358	456	YPR171W
LAP4	968	1944	1645	1934	1937	2502	YKL103C
AVL9	304	687	612	435	468	579	YLR114C
YML037C	14	25	36	27	19	29	YML037C
RRN5	72	129	138	116	133	160	YLR141W
NUR1	205	448	406	286	261	401	YDL089W
PET20	634	1234	1296	665	741	1023	YPL159C
EXO84	217	418	397	308	332	414	YBR102C
GIS1	745	1734	1542	1558	1563	2073	YDR096W
PST1	915	2012	2054	2513	2730	2729	YDR055W
SWD3	20	52	43	64	83	53	YBR175W
ELC1	71	169	123	121	112	114	YPL046C
YIL002W-A	191	363	322	262	252	318	YIL002W-A
YKT6	649	1323	1124	863	897	1079	YKL196C
ATG18	179	384	362	268	308	322	YFR021W
NRK1	81	180	175	156	169	228	YNL129W
GPI14	173	383	311	220	232	292	YJR013W
YDL176W	151	294	291	197	216	228	YDL176W
BCH2	134	290	273	231	253	224	YKR027W
CUP1-1	0	0	0	0	0	0	YHR053C
TUL1	503	1035	999	670	628	955	YKL034W
BLI1	253	451	505	385	354	488	YKL061W
NUP85	230	523	547	407	384	436	YJR042W
GPI12	229	493	530	453	439	615	YMR281W
GYP8	151	367	347	219	245	302	YFL027C
RDS2	234	540	499	445	442	576	YPL133C
YME2	854	1762	1586	1245	1335	1674	YMR302C
YBR230W-A	158	298	286	384	360	389	YBR230W-A
GCV2	781	1524	1542	608	779	578	YMR189W
YBR204C	368	865	675	711	706	834	YBR204C
HBT1	1822	3665	3399	1248	1396	2545	YDL223C
SNF12	185	351	376	322	335	364	YNR023W
COQ3	350	688	641	613	610	769	YOL096C
YBR259W	116	214	219	135	135	182	YBR259W
PDR15	1193	2408	2401	950	962	1053	YDR406W
LSM7	281	560	539	487	452	599	YNL147W
PCS60	813	1811	1574	1084	1204	1476	YBR222C
GON7	161	311	269	186	194	255	YJL184W
NST1	952	1985	1804	1470	1437	1799	YNL091W
GCD11	617	1289	1349	1082	999	1124	YER025W
YMR226C	1401	2925	2735	2206	1982	2516	YMR226C
YHL012W	43	83	91	76	86	87	YHL012W
ADH1	22098	44103	41522	31444	27605	45298	YOL086C
SAM4	608	1395	1280	909	902	1299	YPL273W
YGR015C	115	242	188	195	200	225	YGR015C
KRS1	1925	4499	4151	3188	2873	3796	YDR037W
KSS1	95	178	168	230	193	268	YGR040W
PDA1	3648	7907	7057	5653	5505	6154	YER178W
PFA4	115	305	247	203	185	236	YOL003C
FMP40	594	1273	1183	787	792	1300	YPL222W
YBR137W	494	1000	862	837	798	975	YBR137W
LSM12	209	521	415	484	429	522	YHR121W
RTC1	192	431	369	263	226	311	YOL138C
HSP31	326	759	585	1092	1052	964	YDR533C
SCC4	172	382	364	199	187	268	YER147C
PRE6	888	1804	1557	1528	1415	1820	YOL038W
TRP3	612	1244	1167	782	791	1049	YKL211C
SPP382	79	152	185	93	120	125	YLR424W
HMLALPHA1	0	0	0	0	0	0	YCL066W
SAH1	1817	4325	3778	5171	5043	5923	YER043C
KRR1	215	547	497	337	292	451	YCL059C
IOC2	217	527	486	380	417	545	YLR095C
HMT1	157	381	310	265	253	228	YBR034C
YLR040C	89	167	207	124	151	185	YLR040C
RPA12	20	38	42	34	21	37	YJR063W
VBA5	86	121	133	44	56	79	YKR105C
YDL157C	163	334	317	201	181	245	YDL157C
ACE2	141	268	268	192	230	252	YLR131C
NAT1	500	1081	1026	837	843	961	YDL040C
TSC13	935	1957	1736	1670	1602	2035	YDL015C
PRP16	161	357	345	213	215	227	YKR086W
VPS71	193	336	329	275	258	307	YML041C
ICP55	376	840	723	608	573	709	YER078C
LCD1	87	173	153	156	135	154	YDR499W
INP1	124	224	234	170	202	280	YMR204C
TRM9	138	248	256	179	172	209	YML014W
DRE2	1765	3586	3406	1692	1762	2331	YKR071C
PAU8	1	0	1	1	1	0	YGL261C
KIN4	60	161	163	99	95	90	YOR233W
SPT21	45	92	86	45	57	71	YMR179W
PXR1	400	777	797	721	695	1043	YGR280C
YGR237C	477	1232	1081	875	982	1259	YGR237C
HXT13	27	49	58	51	49	32	YEL069C
OAC1	2547	5167	5378	3465	3438	4163	YKL120W
ZRT3	553	1181	1073	777	853	976	YKL175W
CTF3	73	170	162	128	138	168	YLR381W
HXT2	7088	15247	17460	4928	4061	10066	YMR011W
MGT1	293	569	495	212	209	291	YDL200C
TDH2	5725	10644	10655	9959	9485	11437	YJR009C
IES5	87	180	151	89	87	107	YER092W
FRE1	153	304	286	149	186	215	YLR214W
CTR86	84	170	182	93	84	98	YCR054C
VTC2	475	954	880	806	718	917	YFL004W
MND1	16	28	35	12	10	21	YGL183C
NUP53	157	341	367	174	205	259	YMR153W
YMR124W	497	1246	1087	755	818	956	YMR124W
YDR003W-A	111	199	168	173	194	204	YDR003W-A
PRE2	1236	2438	2471	1994	2130	2675	YPR103W
SEC16	280	625	593	398	492	567	YPL085W
URN1	108	197	195	129	122	189	YPR152C
TDH1	14786	28359	23691	52806	52824	49905	YJL052W
PRO1	226	534	506	323	260	410	YDR300C
MMS2	387	850	789	600	602	745	YGL087C
YHR007C-A	18	36	22	43	31	38	YHR007C-A
TEF1	6867	15454	14403	12842	11642	14714	YPR080W
YIP1	301	639	573	360	382	474	YGR172C
YRF1-1	0	0	0	0	0	0	YOR396W
VMA21	161	310	296	301	253	312	YGR105W
FMP21	748	1517	1445	1168	1167	1399	YBR269C
GCN2	251	502	467	326	369	413	YDR283C
RIM2	93	197	141	176	165	174	YBR192W
TMA20	282	615	514	435	367	520	YER007C-A
RSB1	115	292	271	227	235	275	YOR049C
PTC4	342	693	633	352	376	449	YBR125C
KHA1	530	1119	1149	638	635	929	YJL094C
DST1	196	382	396	237	209	271	YGL043W
BNI5	82	189	192	130	149	127	YNL166C
SEO1	34	67	72	33	32	68	YAL067C
CSM2	11	39	27	46	42	40	YIL132C
PAN6	347	714	696	512	534	564	YIL145C
COA2	366	719	608	699	622	736	YPL189C-A
YLR194C	620	1293	1565	956	1062	1531	YLR194C
PUT3	238	523	474	329	359	407	YKL015W
BIR1	186	371	360	239	246	322	YJR089W
GDE1	334	591	646	330	377	456	YPL110C
ECM25	137	317	294	174	174	235	YJL201W
YLR146W-A	55	111	99	70	56	90	YLR146W-A
NFU1	381	788	734	483	472	585	YKL040C
YEF3	4738	10933	9773	10692	9669	11880	YLR249W
RCK1	45	87	80	13	21	53	YGL158W
YOL073C	317	641	542	522	535	636	YOL073C
TPK2	1092	2373	2096	2104	2138	2693	YPL203W
HOL1	609	1430	1127	1450	1415	1606	YNR055C
MNT3	300	716	653	430	447	511	YIL014W
RPN10	763	1706	1551	1199	1281	1509	YHR200W
ATC1	42	93	72	48	55	72	YDR184C
VAN1	426	816	837	707	611	832	YML115C
POP1	254	572	512	280	336	350	YNL221C
SOG2	282	578	515	346	371	400	YOR353C
THI20	293	569	582	494	479	494	YOL055C
YNL108C	22	49	42	29	36	35	YNL108C
HXK1	28878	67197	53043	91081	91426	90807	YFR053C
VMR1	350	808	771	640	613	708	YHL035C
SGD1	94	154	159	99	86	110	YLR336C
NIC96	276	508	530	438	384	473	YFR002W
AME1	184	375	326	273	238	279	YBR211C
NNF2	170	313	291	267	302	313	YGR089W
MTL1	571	1279	1342	769	946	1302	YGR023W
VEL1	9	26	15	5	4	9	YGL258W
YDR056C	459	942	834	800	799	834	YDR056C
GEP4	81	186	181	109	109	113	YHR100C
MUM2	462	957	851	678	663	828	YBR057C
KAR9	83	174	163	157	143	162	YPL269W
YER186C	240	528	487	392	369	464	YER186C
CHD1	369	784	799	535	573	711	YER164W
RPS26B	1345	2837	2798	2580	2203	3268	YER131W
FYV5	2	5	4	8	5	8	YCL058C
PIN4	339	735	627	549	573	674	YBL051C
SLD3	87	189	174	99	118	144	YGL113W
SEC9	716	1511	1447	1048	1096	1456	YGR009C
LDB16	193	394	360	337	321	387	YCL005W
ARC1	884	2051	1854	1680	1629	1956	YGL105W
MMS21	25	74	62	25	45	51	YEL019C
PZF1	34	74	69	38	39	52	YPR186C
XKS1	716	1476	1347	1512	1483	1870	YGR194C
VPS60	450	885	767	649	638	725	YDR486C
EDE1	1239	2699	2536	2584	2665	2949	YBL047C
SFG1	18	60	46	21	33	41	YOR315W
POM33	1028	2217	1949	1546	1541	1933	YLL023C
HOF1	52	117	97	90	79	129	YMR032W
YDL129W	127	250	240	162	171	216	YDL129W
AIM43	287	569	546	364	334	422	YPL099C
TRP5	1556	3590	3192	2520	2556	3047	YGL026C
SPC19	88	182	147	150	150	140	YDR201W
CHL4	214	423	368	252	262	300	YDR254W
SAY1	105	256	229	158	158	208	YGR263C
LAP2	832	1921	1677	1613	1655	1956	YNL045W
YNL010W	541	1231	1022	1120	975	1087	YNL010W
VTH2	13	17	24	25	16	17	YJL222W
RPS0A	1956	4261	3963	3246	2906	3922	YGR214W
PDH1	1154	2795	2972	295	336	328	YPR002W
TRX3	336	657	614	504	438	522	YCR083W
ZIM17	121	210	208	125	155	175	YNL310C
DBF4	169	382	351	265	267	364	YDR052C
VPS4	533	1162	1052	889	879	1045	YPR173C
MGA1	90	242	213	345	378	565	YGR249W
BET4	191	340	404	286	303	373	YJL031C
GPM2	531	998	929	866	866	994	YDL021W
YLR143W	82	153	178	121	136	115	YLR143W
YEL073C	257	580	463	552	531	667	YEL073C
YDR524W-C	1451	3326	3068	3135	2862	3517	YDR524W-C
ERT1	73	166	153	130	130	155	YBR239C
AMD1	718	1568	1434	884	993	1177	YML035C
AUA1	12	32	32	37	25	15	YFL010W-A
BST1	115	249	238	159	159	219	YFL025C
MRT4	89	170	160	121	105	143	YKL009W
YFL052W	418	811	846	724	762	788	YFL052W
UBP2	546	1203	1044	1019	940	1106	YOR124C
NIT2	129	246	216	178	164	214	YJL126W
HSP150	8385	17883	18223	16853	20803	17467	YJL159W
PAN5	664	1372	1355	735	664	1053	YHR063C
SRL4	90	177	172	42	39	79	YPL033C
PBN1	756	1477	1478	1381	1322	1639	YCL052C
HSK3	101	180	238	142	135	194	YKL138C-A
ARH1	255	589	466	438	395	494	YDR376W
MST1	153	329	261	259	256	282	YKL194C
PES4	11	46	44	27	36	42	YFR023W
FAR11	303	701	663	497	480	577	YNL127W
GEF1	131	306	263	276	313	304	YJR040W
CLB2	18	86	61	104	103	113	YPR119W
YJR015W	308	676	599	481	441	617	YJR015W
COX6	919	2080	1763	2291	2001	2473	YHR051W
SET3	226	411	488	308	330	404	YKR029C
PAM16	235	473	507	338	294	338	YJL104W
YPR010C-A	635	1213	1126	1057	1011	1244	YPR010C-A
YOR296W	132	280	231	227	221	247	YOR296W
DLD1	2299	5203	4623	3682	3369	4189	YDL174C
CMC4	331	633	575	386	373	491	YMR194C-B
QRI1	167	395	324	282	304	369	YDL103C
DSS1	156	312	317	243	238	291	YMR287C
VAM3	163	346	361	255	230	346	YOR106W
YBR220C	168	410	316	277	260	359	YBR220C
RPL5	5891	12598	12028	10585	9799	13668	YPL131W
NUP159	455	964	928	637	669	763	YIL115C
IZH4	118	243	209	175	180	140	YOL101C
ARG3	400	866	872	204	177	314	YJL088W
KEL1	374	796	766	517	643	847	YHR158C
YKL033W-A	801	1694	1503	1274	1190	1572	YKL033W-A
CYS4	1648	3621	3450	2073	1927	3312	YGR155W
ADE4	302	635	600	364	594	321	YMR300C
YMR31	634	1274	1044	1269	1176	1443	YFR049W
YBL028C	64	110	117	65	59	75	YBL028C
MIF2	45	101	76	39	38	42	YKL089W
TSR3	226	451	481	328	356	421	YOR006C
YSH1	124	294	271	230	228	266	YLR277C
CIN5	102	230	236	154	158	287	YOR028C
SNZ2	68	142	133	89	107	104	YNL333W
VPS8	245	574	474	394	457	462	YAL002W
ARG4	3513	7267	7059	5725	6098	7425	YHR018C
ADE8	832	1792	1567	847	895	1032	YDR408C
YPL067C	182	442	347	333	388	413	YPL067C
DID2	0	0	0	0	0	0	YKR035W-A
AAH1	219	419	516	298	245	462	YNL141W
PXL1	80	167	169	204	220	235	YKR090W
ERG8	559	1164	1049	747	749	954	YMR220W
YOL097W-A	10	12	14	7	8	19	YOL097W-A
SNU66	98	183	190	136	156	175	YOR308C
YIA6	97	209	172	171	200	204	YIL006W
SPS1	8	12	16	7	5	9	YDR523C
RPL1A	1382	2808	2730	2457	2055	2990	YPL220W
YOR268C	0	5	2	0	5	2	YOR268C
YGR017W	346	744	713	548	555	768	YGR017W
MIC14	313	631	561	660	578	617	YDR031W
RPB11	160	406	317	295	324	359	YOL005C
SAS5	248	441	498	267	238	340	YOR213C
RML2	265	656	612	564	543	680	YEL050C
SDT1	203	498	477	224	261	277	YGL224C
LYP1	1716	3764	3517	1780	1949	2561	YNL268W
VAM10	0	0	0	0	0	0	YOR068C
COX15	1135	2245	2015	1991	2012	2335	YER141W
DOA1	569	1259	1133	1192	1198	1341	YKL213C
YPR159C-A	5	11	10	8	10	10	YPR159C-A
FRA1	1731	3856	3753	2853	3091	3721	YLL029W
CHA1	88	192	182	92	91	178	YCL064C
USA1	255	553	524	395	415	507	YML029W
YJR154W	56	120	147	313	403	275	YJR154W
ARE1	68	236	238	80	143	143	YCR048W
SNT1	508	1075	957	797	894	1084	YCR033W
SPO71	181	400	422	242	221	276	YDR104C
YDR222W	121	235	267	147	156	231	YDR222W
YBL039W-B	134	224	214	174	190	202	YBL039W-B
YLR042C	49	102	81	65	57	129	YLR042C
YPS6	202	437	384	189	172	271	YIR039C
TIF2	950	2040	1770	1713	1490	1950	YKR059W
SPS19	112	216	201	150	117	175	YNL202W
MNN5	301	704	574	477	402	524	YJL186W
PRO3	556	1199	1062	1071	939	1126	YER023W
HPT1	391	941	826	768	911	595	YDR399W
PPZ1	575	1216	1241	853	885	972	YML016C
FDH1	4	9	4	11	7	11	YOR388C
CKI1	457	1032	1022	1082	1056	1292	YLR133W
CDC7	149	263	302	174	165	246	YDL017W
YOR060C	100	185	210	181	164	259	YOR060C
COS12	11	37	28	0	0	3	YGL263W
YKL183C-A	12	17	11	11	5	19	YKL183C-A
BGL2	5400	11306	10895	10853	10938	11870	YGR282C
CYR1	596	1263	1078	1365	1282	1473	YJL005W
MTR4	119	297	254	138	123	179	YJL050W
YDR170W-A	502	988	939	302	377	511	YDR170W-A
YDR248C	192	400	361	474	406	397	YDR248C
MRPL11	221	476	403	318	342	369	YDL202W
YML083C	26	43	32	23	18	20	YML083C
CPR6	901	1762	1438	1335	1337	1453	YLR216C
SPO20	18	45	30	10	27	17	YMR017W
TRP2	861	1902	1766	1278	1205	1482	YER090W
YLR157W-D	0	0	0	0	0	0	YLR159W
YCR015C	63	161	136	119	109	131	YCR015C
SAC3	199	417	466	302	344	382	YDR159W
YGL185C	188	359	332	264	259	321	YGL185C
SEY1	505	1071	963	816	745	964	YOR165W
SSA1	5783	13367	9965	15488	15273	15912	YAL005C
COG4	212	482	414	367	385	389	YPR105C
AAD14	125	297	273	165	165	228	YNL331C
SEN54	113	286	253	187	195	243	YPL083C
CNL1	166	375	274	321	313	351	YDR357C
REC107	236	484	445	347	352	434	YJR021C
MF(ALPHA)2	38	65	56	23	47	42	YGL089C
AIM44	295	552	521	298	309	381	YPL158C
PSD2	471	1069	995	848	870	1137	YGR170W
SPT20	189	415	349	288	278	324	YOL148C
DIB1	160	318	306	271	263	289	YPR082C
YJR129C	68	153	139	85	80	109	YJR129C
PHM6	1	12	4	6	1	7	YDR281C
KEX1	343	694	660	489	523	587	YGL203C
VMA2	1890	4176	3572	3819	3858	4401	YBR127C
STD1	57	88	96	62	61	77	YOR047C
LEU1	32972	70637	68390	38758	40486	54398	YGL009C
ASG1	208	459	415	286	318	378	YIL130W
YPR1	400	810	716	898	815	911	YDR368W
DYN3	113	226	206	190	183	178	YMR299C
TOP3	29	67	69	21	33	42	YLR234W
ERG20	1077	2326	1953	2132	2130	2413	YJL167W
ARA1	2519	5395	4599	5087	4906	5382	YBR149W
SLU7	298	581	554	368	409	528	YDR088C
MAK31	105	186	155	101	109	120	YCR020C-A
SPC42	79	153	114	126	145	158	YKL042W
SUN4	425	1022	879	1267	1227	1162	YNL066W
PEX25	182	406	369	197	193	252	YPL112C
ARC19	731	1557	1309	1577	1454	1508	YKL013C
YLR156C-A	0	0	0	0	0	0	YLR159C-A
SNL1	109	253	234	280	283	323	YIL016W
YAP7	48	116	133	81	106	102	YOL028C
BIO4	98	180	152	1047	1081	748	YNR057C
YDR186C	769	1753	1649	1085	1141	1512	YDR186C
NAB6	897	1907	1924	2147	2201	2514	YML117W
SKN7	232	535	545	249	320	392	YHR206W
SMF1	288	574	535	426	441	455	YOL122C
ATG4	374	681	657	597	552	716	YNL223W
AIM39	585	1028	966	771	731	965	YOL053W
IRC7	147	292	228	220	220	235	YFR055W
SSM4	454	919	951	468	478	664	YIL030C
YGR027W-B	43	49	71	32	38	49	YGR027W-B
SIR3	224	484	447	356	366	381	YLR442C
URA8	884	1847	1705	2951	2953	2856	YJR103W
GAS2	136	306	265	102	135	126	YLR343W
YOR021C	289	539	534	391	330	434	YOR021C
GLC7	1946	3837	3678	3557	3470	4137	YER133W
RAD4	479	927	839	720	710	935	YER162C
UFD2	478	1033	960	801	861	981	YDL190C
KIC1	318	725	748	443	459	614	YHR102W
ZRC1	810	1790	1624	1329	1375	1514	YMR243C
NSA1	265	613	558	341	321	456	YGL111W
SPS100	55	89	122	62	57	314	YHR139C
VPS17	570	1224	1124	976	972	1297	YOR132W
MLC2	184	343	368	275	288	276	YPR188C
YNL284C-A	0	0	0	0	0	0	YNL284C-A
YNL284C-B	182	352	328	100	118	122	YNL284C-B
ALD4	6841	15410	13184	14536	15414	16530	YOR374W
PAU17	21	36	48	44	31	41	YLL025W
FYV8	284	596	510	341	393	519	YGR196C
MOH1	486	974	876	313	310	421	YBL049W
HMF1	643	1394	1194	946	879	1069	YER057C
TOF2	109	249	210	189	191	190	YKR010C
YMR034C	117	192	205	136	137	184	YMR034C
ARP6	215	434	407	333	307	409	YLR085C
SYC1	197	398	296	364	317	430	YOR179C
SRB8	163	326	340	192	225	254	YCR081W
CAD1	430	952	822	557	612	879	YDR423C
AIM45	729	1535	1390	1022	1043	1105	YPR004C
APL6	308	667	586	483	471	587	YGR261C
CET1	271	540	573	481	425	549	YPL228W
MPS3	110	252	234	107	140	198	YJL019W
ASC1	4342	9532	9157	8774	7878	11212	YMR116C
SLM2	167	370	337	210	203	292	YNL047C
CTA1	117	289	267	197	170	299	YDR256C
RPL30	4066	8217	7895	6008	5344	7830	YGL030W
HCA4	253	539	537	252	229	405	YJL033W
RPS30A	842	1644	1537	1387	1160	1555	YOR182C
TPI1	10489	21168	18974	28614	25970	25362	YDR050C
ADE6	1273	2811	2492	1687	1749	1641	YGR061C
YGR035W-A	34	54	39	45	28	32	YGR035W-A
RFA2	143	277	268	237	184	273	YNL312W
CIN2	75	140	116	93	93	102	YPL241C
RMP1	58	128	125	102	115	105	YLR145W
YPR022C	314	553	583	444	459	554	YPR022C
CCW12	14456	29276	27033	42970	42285	44219	YLR110C
DLD3	2011	3911	4222	565	544	706	YEL071W
MFT1	242	528	494	463	418	520	YML062C
YER138W-A	29	43	50	50	47	49	YER138W-A
ALR2	232	511	513	312	302	404	YFL050C
PHO88	698	1536	1406	1213	1072	1384	YBR106W
VPS1	825	1895	1633	1572	1518	1827	YKR001C
CCW14	2564	5652	5487	4038	4317	4937	YLR390W-A
PER33	266	568	545	538	504	578	YLR064W
NIS1	298	671	614	441	531	611	YNL078W
LSM1	432	1054	841	976	896	966	YJL124C
NAT3	150	339	280	255	218	273	YPR131C
LTV1	243	454	481	309	267	396	YKL143W
YDR374C	12	19	14	4	3	9	YDR374C
GIC1	66	156	150	112	97	121	YHR061C
TSA2	878	1702	1428	1717	1619	2327	YDR453C
ESBP6	662	1473	1274	1034	1096	1277	YNL125C
ASP1	174	337	342	241	213	270	YDR321W
CIT1	5877	12378	11175	8788	8519	10129	YNR001C
RPS3	4477	9620	8688	9075	7552	10217	YNL178W
TAF10	312	657	602	400	376	474	YDR167W
ESS1	191	413	386	308	297	319	YJR017C
TCO89	341	678	717	428	439	554	YPL180W
CPR2	505	1009	943	752	757	884	YHR057C
IME2	72	142	157	148	168	180	YJL106W
RDR1	117	268	214	188	206	206	YOR380W
YBL100W-A	0	0	0	0	0	0	YBL100W-A
DUN1	45	105	104	78	80	81	YDL101C
YBL100W-C	7	16	12	9	6	14	YBL100W-C
YBL100W-B	29	86	57	45	38	48	YBL100W-B
NGL2	165	348	339	299	273	348	YMR285C
COX19	191	325	308	356	360	567	YLL018C-A
PRM5	721	1547	1555	745	813	951	YIL117C
PEX22	179	353	298	278	259	310	YAL055W
GIP3	133	315	303	288	319	350	YPL137C
ITR2	219	548	480	503	509	528	YOL103W
LIN1	139	255	238	114	142	134	YHR156C
CHO2	1043	2341	1855	2740	2424	2338	YGR157W
HUR1	7	25	15	13	23	15	YGL168W
HAL5	742	1588	1585	1164	1051	1439	YJL165C
PEX32	142	339	311	266	290	343	YBR168W
FKS3	55	96	116	46	61	66	YMR306W
MOT3	337	624	638	350	387	507	YMR070W
YHR162W	6482	13309	12055	9339	8845	9133	YHR162W
SMD2	137	299	296	147	139	153	YLR275W
UTP23	79	151	144	84	82	91	YOR004W
RUP1	511	1167	1027	722	704	958	YOR138C
HO	13	19	34	27	36	32	YDL227C
SPC105	143	315	284	277	265	287	YGL093W
PEX30	458	960	849	499	572	797	YLR324W
OXP1	257	530	497	273	291	368	YKL215C
YCL042W	0	2	5	5	5	7	YCL042W
SWR1	227	553	510	563	529	616	YDR334W
APM3	120	270	264	241	208	237	YBR288C
SRP40	155	304	310	134	152	192	YKR092C
FSH2	191	442	353	378	400	445	YMR222C
YPL277C	39	88	74	70	74	89	YPL277C
MGM1	335	711	604	466	438	518	YOR211C
MTC3	76	219	182	157	167	196	YGL226W
FRT1	138	342	287	225	206	306	YOR324C
PAU7	30	66	50	48	44	37	YAR020C
